""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-15_None_Tumor"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-5_None_Tumor"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"SQSTM1"	3.20818598013571	0	1.99130826597491	1.97136480093404	2.76279949914037	2.15723658318163	0	0	0	3.16989636114078	0	2.66793757898472	0	0	0	3.4584982354995	4.83628190695148	3.19593153661202	0	0	4.06009910624668	2.96785655597551	0	3.28988561019803	2.10786596166046	4.0368344971073	2.85890175291106	2.7317383073463	3.12564730923215	0	1.97334329083547	3.24989125157199	3.71622647550055	3.22272383346437	3.73785092803763	3.37934567384964	4.6869979000856	4.32950056811906	2.25814306368322	0	0	0	2.97665005709066	3.12408724813577	3.39095863045369	0	0	2.81926846094208	3.92207136108167	2.75956043448145
"SRC"	0	0	1.99130826597491	1.97136480093404	0	2.15723658318163	0	0	0	2.51789875472167	0	0.850587525780985	0	0	0	0	0	0	0	0	0	2.96785655597551	0	0	0	1.43572485828435	1.39745226803168	1.57468432721998	0	0	1.69097711722387	1.51316409567626	2.05552762915366	0	1.92544950968523	1.61943235365141	0	0	1.66442885886046	0	0	0	0	0	0	0	0	2.44319202542805	3.24853074860739	2.75956043448145
"SREBF1"	0	0	0	0	0	2.15723658318163	0	0	0	2.51789875472167	0	0.850587525780985	0	0	0	0	0	1.92544950968523	0	0	0	3.6349608482861	0	0	2.10786596166046	1.33562034266272	1.39745226803168	1.06973549262296	0	0	0.633904346997085	0	1.71210978590292	2.73811575681904	1.92544950968523	1.30837295618739	0	0	1.66442885886046	0	0	4.70130647075472	0	0	0	0	0	1.83335888087173	0	2.75956043448145
"SRGN"	3.48570915341432	3.71552528769737	4.16279895155488	3.7901556203835	3.92158623602487	4.50222270812244	4.9976096510791	4.31847528044767	3.37583128432807	3.16989636114078	0	4.43252195419986	0	3.36768211680924	5.02126136779537	4.53590255148251	0	4.18114192815964	0	0	5.30046605361672	5.11830310899045	0	5.45343103769978	4.93002160316482	5.19045362033718	4.2545241662739	4.47863920516855	4.4784558496282	3.10252109919077	4.2361564732844	3.85087062397449	4.14401363832639	4.41796927460177	4.66765805588903	4.2843302227446	4.40238255605998	4.04620025685669	3.87347358724858	4.29679233387509	4.32581158608494	0	4.54446292574788	0	4.97308587604257	4.78592285595679	5.19651007826586	4.88561250446153	3.24853074860739	3.42053581027297
"SST"	2.18733050369102	0	2.61375573973199	0	0	0	2.75403531434403	0	0	3.56125985678807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10786596166046	0.588160242310368	0.475598144981732	0.671568134320715	0	0	0.633904346997085	0	0.563478671338737	0	1.92544950968523	0.85444692513942	3.32797129238541	2.98196756108314	0	0	0	0	0	0	0	0	0	0	0	0
"ST6GAL1"	0	0	1.99130826597491	2.32929562660649	1.78306268190063	1.80798367205103	2.75403531434403	0	3.37583128432807	0	0	0.850587525780985	0	0	0	3.4584982354995	0	0	0	0	0	0	0	3.28988561019803	2.10786596166046	1.68708373891235	1.86884192234431	2.04136702186501	1.86309641273877	2.45332933989141	2.08934806188263	0	1.39304464601468	2.36448459280736	2.54289734536132	1.61943235365141	0	2.98196756108314	0	0	0	3.62069794169786	2.97665005709066	3.79500055002248	2.73093319654561	3.03504818400374	0	1.83335888087173	0	0
"ST6GALNAC3"	0	0	0	1.97136480093404	0	1.80798367205103	0	0	0	0	0	1.61404041982282	0	0	0	0	3.75341797525151	0	0	0	0	0	0	0	0	1.33562034266272	1.66066969832265	1.35374862108525	0	0	1.29605977424869	2.0896582942802	1.56524892200075	2.73811575681904	0	1.85634439809126	0	0	0	0	0	0	0	3.12408724813577	0	0	0	1.83335888087173	0	0
"STAT1"	2.82273420624622	0	0	4.03643694028912	3.57336530473478	3.27679357307852	2.75403531434403	4.31847528044767	4.45138667038622	4.24010372168247	0	3.11157341332825	0	0	0	0	0	2.92180003288302	0	0	0	0	0	0	3.94380469307565	4.04387688388155	3.78956873305114	3.76401907303503	3.12564730923215	3.77294414532084	3.99078511131638	3.59486446917683	4.10734430545675	2.73811575681904	3.58765993285183	4.14477489942701	3.32797129238541	2.98196756108314	4.03732469527735	4.29679233387509	0	0	4.04069624761159	3.12408724813577	2.73093319654561	3.03504818400374	0	3.30594500365548	0	3.42053581027297
"STAT3"	0	0	1.99130826597491	1.97136480093404	1.78306268190063	3.06304304455341	0	0	0	3.16989636114078	0	2.83862586425164	0	4.04344433028741	3.43786618529924	0	0	0	0	0	0	0	0	0	2.10786596166046	2.53447049806614	2.37431218059643	1.75553127446859	3.12564730923215	0	2.08934806188263	2.45300563550889	2.68252150931347	3.5477460898418	0	1.30837295618739	0	2.98196756108314	2.25814306368322	0	0	0	0	0	0	0	0	3.09192583509634	3.24853074860739	0
"STAT4"	0	0	0	2.32929562660649	0	1.80798367205103	0	0	0	0	0	2.04188365339328	0	0	0	0	0	0	0	0	0	0	0	3.28988561019803	2.73834116112488	2.46886869549476	1.77016301670626	2.5247402180092	1.86309641273877	0	2.2874265325632	2.92881131326127	1.56524892200075	2.36448459280736	1.92544950968523	1.85634439809126	0	0	2.25814306368322	4.29679233387509	0	0	2.97665005709066	0	0	3.03504818400374	0	0	0	0
